x	y
1	272690813
2	270248003
3	267783607
4	265228572
5	262803276
6	260327021
7	257782608
8	255029699
9	252153092
10	249464396
11	246819230
12	244498982
13	242288918
14	240132887
15	237923795
16	235824902
17	233791994
18	231664458
19	229465714
20	227224681
21	225055487
22	222584545
23	220239425
24	218035164
25	215973199
26	213853928
27	211908788
28	209896021
29	207660677
30	205052174
31	202676946
32	200706052
33	198712056
34	196560338
35	194302963
36	191888791
37	189241798
38	186537737
39	183691481
40	180671158
41	177829628
42	174881904
43	171984130
44	168903031
45	165931202
46	163025854
47	160184192
48	157552740
49	154877889
50	152271417
51	149188130
52	146631302
53	144126071
54	141388566
55	139928165
56	138397345
57	136739353
58	134859553
59	133402471
60	132122446
61	130879718
62	129824939
63	128824829
64	128053180
65	127250232
66	126373773
67	125578763
68	124840471
69	124039648
70	123076741
71	121767000
72	120509000
73	119035000
74	117397000
75	115829000
76	114109000
77	111947000
78	110049000
79	108538000
80	106461000
81	104514000
82	103208000
83	103268000
84	101961000
85	100546000
86	99111000
87	97225000
88	95335000
89	93863000
90	92407000
91	90490000
92	88710000
93	87008000
94	85450000
95	83822000
96	82166000
97	80632000
98	79163000
99	77584000
100	76094000
